lon,lat,elev,agebp,tanom_djf,tanom_djf_er
-10.308333,52.2,84,-120,0,0
-10.308333,52.2,84,-70,0,0
-10.308333,52.2,84,-30,0,0
-10.308333,52.2,84,-10,0,0
-10.308333,52.2,84,0,0,0
-10.308333,52.2,84,557.75,-2.1625,1.31794
-10.308333,52.2,84,752.34,-3.4,1.2
-10.308333,52.2,84,974.61,-2.8,1.09545
-10.308333,52.2,84,1502.19,-3.8625,1.40909
-10.308333,52.2,84,1807.5,-3.3,1.92057
-10.308333,52.2,84,2140.49,-2.7875,1.47691
-10.308333,52.2,84,2501.16,-4.725,1.28813
-10.308333,52.2,84,2889.51,-3.55,1.11484
-10.308333,52.2,84,3305.54,-3.2375,0.801672
-10.308333,52.2,84,3523.93,-2.3375,2.17251
-10.308333,52.2,84,3749.25,-2.8,2.50998
-10.308333,52.2,84,3981.48,-2.2,2.16267
-10.308333,52.2,84,4220.64,-5.1875,2.47296
-10.308333,52.2,84,4466.71,-2.4625,1.37938
-10.308333,52.2,84,4719.71,-3.45,2.07089
-10.308333,52.2,84,4979.62,-5.6,3.29848
-10.308333,52.2,84,5246.46,-4.6875,2.72315
-10.308333,52.2,84,5520.21,-5.8875,3.31897
-10.308333,52.2,84,5800.89,-4.8125,4.22254
-10.308333,52.2,84,6088.48,-5.5625,3.29369
-10.308333,52.2,84,6383,-5.6875,2.62974
-10.308333,52.2,84,6684.43,-4.6,1.80238
-10.308333,52.2,84,6992.79,-5.85,3.25576
-10.308333,52.2,84,7308.06,-5.625,2.17633
-10.308333,52.2,84,7630.26,-6.4875,1.4672
-10.308333,52.2,84,7959.37,-6.2875,0.716016
-10.308333,52.2,84,8295.41,-6.5,1.45308
-10.308333,52.2,84,8812.43,-3.925,3.5423
-10.308333,52.2,84,9345.03,-5.75,1.26829
-10.308333,52.2,84,9708.75,-5.55,1.82287
-10.308333,52.2,84,10079.4,-6.175,0.615862
-10.308333,52.2,84,10456.9,-6.175,0.615862
-10.308333,52.2,84,10648.3,-6.1875,0.631184
-10.308333,52.2,84,11036.2,-5.375,1.90094
-10.308333,52.2,84,11232.8,-5.3375,2.77537
-10.308333,52.2,84,11631.1,-5.6375,2.44069
-9.6,54.25,60,-120,0,0
-9.6,54.25,60,-70,0,0
-9.6,54.25,60,-30,0,0
-9.6,54.25,60,-10,0,0
-9.6,54.25,60,0,0,0
-9.6,54.25,60,2838.3,-1.675,2.22438
-9.6,54.25,60,3015.69,-1.8,2.11728
-9.6,54.25,60,3193.09,-2.5875,1.56793
-9.6,54.25,60,3370.48,-2.6125,1.62695
-9.6,54.25,60,3547.88,-2.3625,1.10187
-9.6,54.25,60,3725.27,-3.3125,3.06055
-9.6,54.25,60,3760.75,-3.55,2.69444
-9.6,54.25,60,3902.66,-3.3,1.80238
-9.6,54.25,60,4452.59,-3.725,2.44701
-9.6,54.25,60,4612.24,-3.45,2.29907
-9.6,54.25,60,4789.63,-2.725,1.54249
-9.6,54.25,60,4967.03,-2.425,2.15125
-9.6,54.25,60,5144.42,-2.275,2.28082
-9.6,54.25,60,5321.82,-2.9,1.75418
-9.6,54.25,60,5499.21,-3.8625,2.45702
-9.6,54.25,60,5676.6,-3.5125,1.99029
