lon,lat,elev,agebp,tanom_jja,tanom_jja_er
-10.308333,52.2,84,-120,0,0
-10.308333,52.2,84,-70,0,0
-10.308333,52.2,84,-30,0,0
-10.308333,52.2,84,-10,0,0
-10.308333,52.2,84,0,0,0
-10.308333,52.2,84,557.75,3,3.19821
-10.308333,52.2,84,752.34,-0.2625,1.21765
-10.308333,52.2,84,974.61,-0.375,1.06603
-10.308333,52.2,84,1502.19,0.462501,1.20705
-10.308333,52.2,84,1807.5,0.725,2.50357
-10.308333,52.2,84,2140.49,-0.237499,1.83064
-10.308333,52.2,84,2501.16,0.0250006,1.89793
-10.308333,52.2,84,2889.51,0.337501,1.32443
-10.308333,52.2,84,3305.54,-0.174999,0.572588
-10.308333,52.2,84,3523.93,0.3625,1.76225
-10.308333,52.2,84,3749.25,1.6375,1.56108
-10.308333,52.2,84,3981.48,1.175,1.96886
-10.308333,52.2,84,4220.64,1.675,1.99051
-10.308333,52.2,84,4466.71,0.587501,1.56154
-10.308333,52.2,84,4719.71,1,1.65702
-10.308333,52.2,84,4979.62,2.3375,1.20349
-10.308333,52.2,84,5246.46,2.0625,1.72373
-10.308333,52.2,84,5520.21,2.0375,1.72124
-10.308333,52.2,84,5800.89,2.2,1.59194
-10.308333,52.2,84,6088.48,2.1,1.31149
-10.308333,52.2,84,6383,2.15,1.96759
-10.308333,52.2,84,6684.43,1.5125,2.05387
-10.308333,52.2,84,6992.79,1.375,1.34881
-10.308333,52.2,84,7308.06,2.9,1.03372
-10.308333,52.2,84,7630.26,2.3875,1.67113
-10.308333,52.2,84,7959.37,2.475,0.692305
-10.308333,52.2,84,8295.41,2.825,1.0471
-10.308333,52.2,84,8812.43,2.025,1.439
-10.308333,52.2,84,9345.03,2.7,0.975412
-10.308333,52.2,84,9708.75,2.475,0.580025
-10.308333,52.2,84,10079.4,2.3,0.595219
-10.308333,52.2,84,10456.9,2.3,0.595219
-10.308333,52.2,84,10648.3,2.4375,0.534355
-10.308333,52.2,84,10841.4,1.4125,2.6123
-10.308333,52.2,84,11036.2,1.975,1.06603
-10.308333,52.2,84,11431.1,-5.6875,2.26995
-10.308333,52.2,84,11631.1,3.1125,1.11923
-9.6,54.25,60,-120,0,0
-9.6,54.25,60,-70,0,0
-9.6,54.25,60,-30,0,0
-9.6,54.25,60,-10,0,0
-9.6,54.25,60,0,0,0
-9.6,54.25,60,2838.3,2.0875,1.25178
-9.6,54.25,60,3015.69,2.225,1.29146
-9.6,54.25,60,3193.09,1.55,1.39591
-9.6,54.25,60,3370.48,0.775001,1.17199
-9.6,54.25,60,3547.88,0.4125,1.30213
-9.6,54.25,60,3725.27,2.075,1.1622
-9.6,54.25,60,3760.75,2.025,1.11451
-9.6,54.25,60,3902.66,2.0125,2.05387
-9.6,54.25,60,4452.59,2.3875,2.18465
-9.6,54.25,60,4612.24,3.225,1.614
-9.6,54.25,60,4789.63,0.875,1.13986
-9.6,54.25,60,4967.03,2.0875,1.64442
-9.6,54.25,60,5144.42,2.1875,1.23917
-9.6,54.25,60,5321.82,1.9,1.23751
-9.6,54.25,60,5499.21,1.925,1.92929
-9.6,54.25,60,5676.6,3.025,1.93003
-9.6,54.25,60,5854,1.85,1.29173
